Delta Power,Theta Power,Alpha Power,Beta Power,Gamma Power,Class
15097.507,3705.787,1721.114,2047.192,453.148,2
17129.392,3409.289,1627.106,2095.725,453.057,2
11952.786,3047.155,1244.659,1567.498,359.323,2
22215.38,4041.992,1573.616,1900.499,430.975,2
77289.714,3285.057,2204.981,2483.291,523.131,2
11239.748,2785.678,1114.891,1234.804,300.311,2
8752.614,2430.892,1181.806,1326.897,273.799,2
11889.018,2294.88,1100.707,1698.147,360.47,2
11409.92,2659.306,1257.724,1700.863,361.757,2
8572.312,2284.587,992.06,1384.807,274.048,2
9503.681,2408.972,995.727,1348.47,324.226,2
15571.771,2918.747,2081.589,4688.852,914.581,2
5591.905,4096.739,2750.355,6137.947,1232.585,2
4739.522,4430.094,2196.218,6430.22,1159.603,2
11091.984,5331.223,2601.888,6262.645,1339.726,2
11468.415,3567.801,3549.669,6526.133,1352.505,2
8162.284,3792.577,3283.676,6992.893,1298.333,2
5927.781,3601.835,2488.474,6001.496,1196.135,2
5933.559,4218.804,3175.654,6735.009,1431.179,2
9549.144,4491.738,2752.021,6630.851,1269.121,2
13459.749,3703.156,3390.151,7312.524,1510.213,2
5874.534,3984.476,2175.527,6028.368,1144.987,2
7498.547,2773.277,1237.48,2123.947,463.803,2
6678.071,3855.554,2540.977,6348.896,1235.217,2
6832.56,4277.705,3013.48,6566.325,1181.388,2
6636.228,4280.18,2491.277,5276.199,977.882,2
16228.657,4823.172,3216.934,5904.61,1162.875,2
6220.765,3953.715,3128.74,6884.028,1285.067,2
5429.486,3996.786,2794.478,6997.71,1158.908,2
5514.09,4968.372,2201.172,6987.207,1326.951,2
7514.921,4551.832,3342.481,6990.188,1351.393,2
8025.747,3785.837,3474.761,7349.183,1415.517,2
8387.294,3428.716,3149.749,6233.729,1154.358,2
9963.792,2290.673,1171.137,2417.794,512.004,2
5179.523,4093.407,2635.236,6588.729,1175.793,2
13205.938,3051.998,1240.288,1808.585,414.759,2
10600.525,2017.788,918.464,1316.04,317.507,2
14275.071,2617.45,1546.61,2123.094,459.66,2
18745.713,2915.208,2099.205,3381.415,768.412,2
11500.67,3081.894,3266.461,5451.357,1142.825,2
7273.345,3352.577,2495.038,6247.793,1159.328,2
19158.452,3336.81,2193.566,4925.321,1021.384,1
13387.869,3499.988,1893.331,4932.633,895.398,1
11738.294,3365.257,2084.563,5632.616,1202.438,1
18081.569,3609.642,2392.298,4728.493,932.319,1
11268.357,3964.814,2212.351,6182.844,1375.843,1
10998.905,3210.191,2060.367,7517.574,1798.159,1
12388.769,3834.05,2382.361,6271.708,1502.096,1
16280.941,3799.461,2606.385,6002.862,1330.132,1
18933.102,3674.853,2685.15,6505.974,1405.207,1
12953.53,3558.757,2685.63,6379.775,1423.476,1
32547.309,4747.17,3164.106,7354.623,1801.047,1
13852.852,3627.284,1931.952,4583.916,949.228,1
9983.953,3639.87,2323.313,5538.503,1137.194,1
13916.718,3458.155,2718.778,6374.56,1237.649,1
15702.045,3353.659,2170.926,5490.679,1183.462,1
9734.755,3483.455,2150.779,6275.137,1106.115,1
9730.436,3239.219,1951.762,6027.818,1287.64,1
13678.093,4154.616,2175.819,6146.218,1221.56,1
