Delta Power,Theta Power,Alpha Power,Beta Power,Gamma Power,MedianNN,MeanNN,SDNN,MedianX,MeanX,SDX,Class
6730.525,1939.282,1049.469,2315.782,547.819,982,985.4,69.893,62.17,62.185,0.045,1
7736.935,1961.814,1444.576,2614.693,636.774,922,945.2,46.201,62.17,62.215,0.069,1
6554.817,1773.218,733.571,1211.003,294.955,882,881,49.566,62.245,62.215,0.117,1
6788.451,1572.495,853.574,1382.343,289.101,1001,981.2,80.797,62.17,62.215,0.096,1
10043.317,2288.412,1249.191,2899.692,584.918,980,953.2,65.021,62.17,62.2,0.112,1
8383.176,2236.909,1010.963,1373.772,322.446,941,953.2,63.713,62.17,62.155,0.081,1
6409.905,2295.215,772.879,1129.516,273.18,922,925.2,48.321,62.17,62.17,0.067,1
7355.729,1723.383,1130.479,1863.844,348.885,942,945.2,76.987,62.17,62.17,0.067,1
10753.815,2088.728,1026.167,1381.569,317.305,881,925.4,110.73,62.17,62.23,0.073,1
7960.077,2008.851,1076.706,3660.35,875.836,861,844.8,93.604,62.17,62.215,0.096,1
7163.355,2114.318,1115.693,2758.62,665.586,881,929.4,111.148,62.17,62.215,0.096,1
7852.895,2256.471,954.6,2086.503,390.713,881,893.2,48.201,62.32,62.26,0.073,1
5466.329,1664.076,773.922,1406.543,272.583,922,925.4,71.982,62.17,62.215,0.069,1
6655.344,1680.472,818.582,1251.462,285.546,981,969.2,51.817,62.17,62.23,0.073,1
8069.996,2562.645,1723.374,4142.85,904.236,941,925.4,34.714,62.095,62.095,0.075,1
10199.153,1923.568,833.011,1844.845,369.654,1002,1033.2,47.789,62.02,62.051,0.088,1
8333.006,2366.457,1183.443,2409.806,488.729,1001,997.4,62.637,62.02,62.006,0.042,1
9480.572,1909.971,1116.989,2017.411,425.207,1021,1001.2,41.571,61.95,61.95,0.07,1
5989.819,1989.249,981.187,2142.574,494.146,922,925.2,51.211,61.88,61.922,0.064,1
7196.796,1734.911,959.322,1453.115,399.772,1002,1009.4,77.575,61.88,61.921,0.092,1
6631.842,1278.976,685.99,1155.038,288.367,921,933.2,90.309,62.02,61.979,0.092,1
6678.285,1968.792,1026.164,1627.157,354.124,962,949.2,86.377,61.88,61.936,0.069,1
7741.693,2165.552,890.414,2580.922,564.191,901,893.4,116.51,62.02,62.007,0.077,1
6650.245,1264.171,659.606,1476.519,323.459,861,865,93.295,61.88,61.908,0.056,1
7962.312,2488.556,955.114,1665.791,419.924,882,885.4,123.341,61.88,61.922,0.064,1
6314.148,1613.362,1136.566,2119.4,560.102,1020,1028.8,154.906,62.02,61.964,0.069,1
7064.449,1309.838,644.13,1365.667,328.381,1161,1073.4,189.881,62.02,61.964,0.069,1
11628.231,1955.411,706.255,1413.484,275.791,1102,1113.6,103.392,61.88,61.922,0.064,1
8430.83,2052.274,1340.503,4764.571,1148.424,1061,1049.2,59.911,62.02,61.978,0.064,1
6033.026,2133.153,1711.637,4443.807,1018.316,1061,1013.4,126.738,62.02,61.978,0.064,1
10180.32,2652.601,1449.859,3169.863,742.36,882,957.4,241.668,61.88,61.922,0.064,1
7703.45,2954.392,1085.99,3067.992,667.361,1001,1029.2,119.185,62.02,61.979,0.092,1
8468.287,2304.01,1849.741,4794.192,1267.177,1042,993.4,164.944,62.02,62.007,0.077,1
7874.938,1611.609,805.923,1652.203,396.048,1040,1045.2,128.09,62.02,61.994,0.108,1
8048.284,1399.938,731.448,1081.164,240.04,1040,1017.4,127.89,62.02,62.006,0.042,1
7586.89,1953.372,703.546,1468.12,297.291,1120,1073.2,143.345,62.02,62.02,0,1
10649.517,2301.515,982.66,1377.996,323.593,841,821,42.052,62.02,62.051,0.088,1
8865.14,2252.699,1060.799,2939.744,639.926,880,841.4,50.603,62.02,62.007,0.077,1
8411.6,1710.124,605.748,1185.181,264.597,861,869,81.978,62.02,62.08,0.073,1
6872.147,1521.972,548.069,991.744,273.317,902,877.6,52.66,62.02,62.035,0.045,1
6035.028,1877.285,1168.221,2713.531,536.254,941,909,61.449,62.02,62.05,0.06,1
7591.651,2680.719,1693.484,3601.325,811.199,961,985.4,73.137,62.02,62.035,0.045,1
6827.659,1859.165,973.511,2237.6,591.242,802,893.4,198.229,62.095,62.095,0.075,1
12603.46,2281.96,1425.763,3609.984,922.062,981,917,142.831,62.02,62.051,0.088,1
9566.388,2079.612,1089.348,1941.121,405.9,861,857.2,103.006,62.02,62.05,0.06,1
7499.961,2441.098,1254.274,3541.976,834.869,941,957.2,92.142,62.02,62.051,0.088,1
7201.487,2442.077,1750.125,4790.397,969.511,960,917,57.135,62.02,62.08,0.073,1
6681.122,1930.736,896.421,1580.316,358.377,961,965.2,114.397,62.17,62.125,0.096,1
