Delta Power,Theta Power,Alpha Power,Beta Power,Gamma Power,ECG,EMG,Class
11117.381,2423.781,1113.768,2231.506,373.557,759.3,45.235,1
13081.863,2246.198,1141.859,2544.157,510.819,803.2,43.878,1
8326.221,2512.128,1404.879,2699.973,464.621,759.2,42.892,1
9467.662,2668.149,1098.691,3035.814,601.014,733.2,42.122,1
18959.183,2836.466,1337.353,2963.744,568.976,871.2,41.605,1
17690.911,2338.831,1411.576,2833.126,523.636,819.3,43.035,1
12242.26,2806.482,1249.513,2568.103,470.22,797.2,49.305,1
10274.202,2516.899,1095.085,2681.203,540.408,783.3,53.118,1
10825.262,2576.916,1242.446,2824.975,490.411,795,54.838,1
12627.568,2486.316,1270.018,2544.467,455.916,839.4,55.425,1
8225.018,2171.727,1246.92,2637.134,414.2,833,55.792,1
12331.743,2197.763,1060.128,2620.736,479.88,821.2,55.975,1
8786.016,2378.592,1389.98,2721.431,473.433,873.1,56.158,1
13640.253,2315.484,1350.054,2411.408,463.132,881.3,56.45,1
10571.784,2629.149,1588.617,3144.552,579.093,857.2,56.595,1
11755.3,2410.64,1121.22,2906.17,523.767,855.2,56.708,1
11307.513,1792.471,1053.795,2477.031,463.618,825.2,56.743,1
16911.725,2388.215,1304.725,2688.174,502.399,857.4,56.815,1
12843.589,2441.47,1075.372,2926.168,530.354,881.1,57.038,1
9337.328,2746.652,963.171,2437.492,481.265,867.4,57.002,1
10467.82,2161.419,929.533,2456.323,433.281,845.2,57.002,1
13500.164,2896.115,1106.436,2297.765,441.323,827.2,41.828,1
13929.49,1831.419,630.911,1285.288,238.981,851.2,49.598,1
6923.789,2105.43,704.136,803.197,186.659,879.2,56.6,1
7804.772,1885.496,598.565,941.8,208.959,823.2,57.257,1
11989.495,2259.795,737.211,1252.32,287.376,847.3,55.242,1
13354.922,2164.054,709.701,1406.547,252.863,787.2,52.492,1
9717.168,1728.785,636.509,1249.761,257.182,809.2,50.66,1
19853.638,1958.072,960.891,1684.261,349.992,763.2,49.158,1
15290.297,1819.389,866.766,1426.036,291.173,847.2,47.285,1
6825.707,1933.838,832.661,2436.381,593.36,873.2,45.895,1
9819.589,1753.57,589.028,1133.119,235.875,861.3,45.16,1
6429.18,1783.138,580.703,826.039,232.453,789,44.503,1
8178.151,1636.835,598.792,943.592,255.412,879.2,44.098,1
9670.496,1754.031,736.818,1283.531,272.099,853.2,43.622,1
7650.98,1881.909,754.107,1012.363,210.429,885.2,43.33,1
5962.239,2029.699,692.802,1202.136,250.425,791.2,43,1
6076.782,1656.442,617.687,959.146,227.565,815.1,42.707,1
7266.44,1491.991,676.289,1126.164,246.85,867.3,42.488,1
6755.479,1646.441,546.161,935.179,240.663,855.2,42.117,1
9921.464,1793.571,683.759,1196.722,240.293,821.3,42.045,1
4946.076,2042.802,618.092,952.137,251.845,845.2,41.902,1
12727.444,2354.135,964.283,1725.349,323.4,841.1,41.57,1
10298.285,1767.002,660.739,1104.694,263.041,887.1,41.422,1
13342.211,2193.645,835.786,1474.258,294.674,889.1,41.35,1
10826.065,1910.332,655.931,1009.223,255.701,903.1,41.168,1
10178.772,2124.138,521.944,889.592,205.152,885.2,41.13,1
12055.46,1923.036,676.746,1042.71,221.243,875,42.488,1
20934.767,2274.169,951.634,2165.929,487.067,789.1,45.012,1
9497.141,1693.64,636.533,1016.451,206.523,811,49.56,1
10880.151,2255.36,806.542,1097.637,215.959,681.3,52.678,1
6542.416,1710.304,591.53,978.496,208.207,879.2,54.435,1
12104.973,1922.467,805.69,1368.432,292.877,849.3,56.595,1
12341.788,2051.956,1212.714,1506.415,321.715,817.2,57.515,1
